date,time,value
03-08-2022,09:18:22,3.4
03-08-2022,09:22:01,7.1
03-08-2022,09:23:01,8.5
03-08-2022,09:24:01,6.9
03-08-2022,09:25:01,7.1
03-08-2022,09:26:01,4.4
03-08-2022,09:27:02,6.0
03-08-2022,09:28:02,5.8
03-08-2022,09:29:01,9.8
03-08-2022,09:30:01,8.3
03-08-2022,09:31:01,3.0
03-08-2022,09:32:01,9.6
03-08-2022,09:33:01,8.3
03-08-2022,09:34:01,8.0
03-08-2022,09:35:02,10.0
03-08-2022,09:36:02,5.1
03-08-2022,09:37:02,5.7
03-08-2022,09:38:01,7.2
03-08-2022,09:39:59,7.7
03-08-2022,09:40:01,7.7
03-08-2022,09:41:02,5.9
03-08-2022,09:42:01,4.0
03-08-2022,09:43:01,9.5
03-08-2022,09:44:01,5.0
03-08-2022,09:45:01,4.3
03-08-2022,09:46:01,7.3
03-08-2022,09:47:01,4.6
03-08-2022,09:48:01,9.3
