date,time,value
2022-07-06,14:42,4.9
2022-07-06,14:42,5.5
2022-07-06,14:42,6.7
2022-07-06,14:42,6.7
2022-07-06,14:42,7.2
2022-07-06,14:42,7.6
2022-07-06,14:42,8.2
2022-07-06,14:42,6.0
2022-07-06,14:43:37,9.2
2022-07-06,14:43:38,8.0
2022-07-06,14:43:39,4.4
2022-07-06,14:43:40,7.3
2022-07-06,14:43:42,5.7
2022-07-06,14:43:43,8.2
2022-07-06,14:43:44,6.9
2022-07-06,14:45:45,9.2
2022-07-06,14:45:47,9.5
2022-07-06,14:45:48,8.9
2022-07-06,14:45:48,9.8
2022-07-06,14:45:49,7.5
2022-07-06,14:45:50,6.7
2022-07-06,14:45:50,9.9
2022-07-06,14:45:51,7.0
2022-07-06,14:45:51,5.8
2022-07-06,14:45:52,8.1
2022-07-06,14:45:53,7.6
2022-07-06,14:55:01,5.5
2022-07-06,14:56:01,9.3
2022-07-06,14:57:01,6.4
2022-07-06,14:58:01,5.8
2022-07-06,14:59:02,4.6
2022-07-06,15:00:01,6.7
2022-07-06,15:01:01,4.1
2022-07-06,15:02:01,5.8
2022-07-06,15:03:01,8.4
2022-07-06,15:04:01,5.4
2022-07-06,15:05:01,9.4
2022-07-06,15:06:02,5.3
2022-07-06,15:07:01,8.5
2022-07-06,15:08:01,8.6
2022-07-06,15:09:01,8.7
2022-07-06,15:10:01,6.1
2022-07-06,15:11:01,6.2
2022-07-06,15:12:01,7.6
2022-07-06,15:13:02,8.6
2022-07-06,15:14:01,7.4
2022-07-06,15:15:01,8.4
2022-07-06,15:16:01,5.9
2022-07-06,15:17:01,9.7
2022-07-06,15:18:01,7.7
2022-07-06,15:19:01,5.5
2022-07-06,15:20:02,5.7
2022-07-06,15:21:01,9.5
2022-07-06,15:22:01,4.3
2022-07-06,15:23:01,6.2
2022-07-06,15:24:01,9.7
2022-07-06,15:25:01,8.7
2022-07-06,15:26:01,8.9
2022-07-06,15:27:02,5.1
2022-07-06,15:28:01,8.6
2022-07-06,15:29:01,7.8
2022-07-06,15:30:01,5.1
2022-07-06,15:31:01,6.9
2022-07-06,15:32:01,7.3
2022-07-06,15:33:01,5.6
2022-07-06,15:34:02,9.0
2022-07-06,15:35:01,9.8
2022-07-06,15:36:01,4.9
2022-07-06,15:37:01,8.6
2022-07-06,15:38:01,4.4
2022-07-06,15:39:01,4.7
2022-07-06,15:40:01,6.1
2022-07-06,15:41:02,9.0
2022-07-06,15:42:01,7.4
2022-07-06,15:43:01,8.4
2022-07-06,15:44:01,9.6
2022-07-06,15:45:01,4.7
2022-07-06,15:46:01,7.2
2022-07-06,15:47:01,4.6
2022-07-06,15:48:02,5.8
2022-07-06,15:49:01,6.0
2022-07-06,15:50:01,4.1
2022-07-06,15:51:01,9.1
2022-07-06,15:52:01,4.1
2022-07-06,15:53:01,9.4
2022-07-06,15:54:01,8.2
2022-07-06,15:55:02,4.8
2022-07-06,15:56:01,7.5
2022-07-06,15:57:01,7.4
2022-07-06,15:58:01,9.4
2022-07-06,15:59:01,8.4
2022-07-06,16:00:01,7.0
2022-07-06,16:01:01,7.1
2022-07-06,16:02:02,4.8
2022-07-06,16:03:01,9.0
2022-07-06,16:04:01,8.8
2022-07-06,16:05:01,7.9
2022-07-06,16:06:01,9.1
2022-07-06,16:07:01,6.5
2022-07-06,16:08:01,7.4
2022-07-06,16:09:02,4.2
2022-07-06,16:10:01,9.6
2022-07-06,16:11:01,4.4
2022-07-06,16:12:01,8.8
2022-07-06,16:13:01,8.2
2022-07-06,16:14:01,8.4
2022-07-06,16:15:01,5.3
2022-07-06,16:16:01,5.7
2022-07-06,16:17:02,7.9
2022-07-06,16:18:01,5.8
2022-07-06,16:19:01,5.9
2022-07-06,16:20:01,4.1
2022-07-06,16:21:01,8.0
2022-07-06,16:22:01,5.4
2022-07-06,16:23:02,6.3
2022-07-06,16:24:01,5.6
2022-07-06,16:25:01,7.5
2022-07-06,16:26:01,6.6
2022-07-06,16:27:01,8.2
2022-07-06,16:28:01,7.3
2022-07-06,16:29:01,5.9
2022-07-06,16:30:02,6.9
2022-07-06,16:31:01,7.0
2022-07-06,16:32:01,4.3
2022-07-06,16:33:01,9.6
2022-07-06,16:34:01,8.8
2022-07-06,16:35:01,9.2
2022-07-06,16:36:01,5.5
2022-07-06,16:37:02,4.0
2022-07-06,16:38:01,10.0
2022-07-06,16:39:01,4.8
2022-07-06,16:40:01,8.1
2022-07-06,16:41:01,9.8
2022-07-06,16:42:01,9.9
2022-07-06,16:43:01,7.9
2022-07-06,16:44:02,4.9
2022-07-06,16:45:01,9.4
2022-07-06,16:46:01,4.1
2022-07-06,16:47:01,4.0
2022-07-06,16:48:01,7.1
2022-07-06,16:49:01,6.6
2022-07-06,16:50:01,4.5
2022-07-06,16:51:02,10.0
2022-07-06,16:52:01,5.1
2022-07-06,16:53:01,8.3
